id,name,soothing,moisturizing,skin
A000000170518,닥터지 레드 블레미쉬 포 맨 멀티 수딩 토너 200ml 보습기획세트 (+올인원크림 30ml),0.55,0.26,-0.01
A000000165266,아이디얼포맨 프레시 애프터쉐이브 수딩토너 260ml,0.285,0.225,0.04
A000000176320,메이크프렘 인테카 수딩 토너 200ml,1.025,0.54,0.425
A000000171132,[대용량] 피캄 베리어 사이클 락토P 토너 500ml,0.7788944723618091,0.3869346733668342,0.135678391959799
A000000149524,바이오힐보 비타민 히알루로닉 앰플토너 150ml,0.165,0.46,0.015
A000000124507,클럽맨피노드 오리지날 에프터쉐이브로션 177ml,0.3,0.15,0.015
A000000180474,[대용량기획] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),0.335,0.445,0.135
A000000163493,라운드랩 포 맨 자작나무 수분 토너 200ml,0.41,0.515,0.075
A000000178514,[포니 pick] 코스톡 타임리스 에센스스킨 200ml,0.63,0.805,0.17
A000000174023,[NEW] 닥터지 레드 블레미쉬 클리어 모이스처 토너세트 (본품 300ml+크림30ml),0.665,0.965,0.185
A000000113195,바이오더마 세비엄 로션 200ml,0.5,0.67,0.115
A000000139347,라로슈포제 똘러리앙 울트라 로션 200ML,0.65,0.7,0.11
A000000144551,하다라보 고쿠쥰 로션170ml,0.4,0.955,0.175
A000000182686,에스트라 테라크네365 하이드로 액티브 토너 200ml,0.5527638190954773,0.22613065326633167,0.09045226130653267
A000000148899,피지오겔 DMT 에센스 인 토너 200ml,0.87,0.86,0.105
A000000164211,피지오겔 레드수딩 시카밸런스 토너 200ml,0.785,0.495,0.145
A000000010474,라로슈포제 에빠끌라 H 토너 200ml (복합성/건성 피부),0.5879396984924623,0.5326633165829145,0.2613065326633166
A000000169302,리얼베리어 인텐스 모이스처 토너 300ml,0.345,0.67,0.185
A000000180024,[NEW] 라로슈포제 시카플라스트 B5 스프레이 100ml,0.375,0.395,0.015
A000000179544,[늘이농 PICK] 비플레인 시카테롤 토너 200ml,0.7135678391959799,0.4221105527638191,0.10552763819095477
A000000129443,이즈앤트리 히아루론산 토너 200ml,0.285,0.705,0.095
A000000163656,닥터지 더모이스처 배리어 D 리퀴드 토너세트(200ml+30ml),0.285,0.615,0.03
A000000175815,[고이진 PICK] 인터미션 레스트 업 세럼 스킨 200ml,0.405,0.765,0.095
A000000184965,피캄 베리어 사이클 락토P 토너200ml 기획(+화장솜 증정),0.505,0.16,0.03
A000000167276,피캄 베리어 사이클 락토P 토너 200ml,0.8190954773869347,0.41708542713567837,0.1507537688442211
A000000124502,클럽맨리저브 위스키우즈 에프터쉐이브 177ml,0.23737373737373738,0.1111111111111111,0.005050505050505051
A000000147964,바이오힐보 프로바이오덤 리페어 스킨소프너 150mL,0.225,0.575,0.16
A000000016873,유리아쥬 제모스 토너 250ml,0.2,0.63,0.085
A000000180684,성분에디터 그린토마토 포어 리프팅 앰플 토너 350ml,0.205,0.195,0.305
A000000121246,싸이닉 더 심플 카밍 토너 145ml,0.5333333333333333,0.31794871794871793,0.11282051282051282
A000000153859,아이소이 모이스춰닥터 장수진 수분토너 130ml,0.665,0.66,0.235
A000000176512,트러블레스 마일드 클리어 토너 에센스 200ml,1.245,0.48,0.31
A000000147360,땡큐파머 강화교동쌀 맑음 에센셜토너 200ml,0.655,0.905,0.225
A000000140344,싸이닉 더 심플 카밍 토너 더블 기획 (300ml+300ml),0.635,0.6,0.08
A000000163519,플리프 시카-알로에 프레쉬 스킨 200ml,0.455,0.335,0.075
A000000188047,브링그린 대나무히알루수분토너250mL_NEW,0.68,0.985,0.22
A000000158322,원씽 나이아신아마이드 10%,0.49,0.365,0.165
A000000176677,[종석 pick]다슈 맨즈 아쿠아 딥 포텐 토너 153ml 기획(+로션30ml 증정),0.075,0.38,0.0
A000000180617,[단독기획] 스킨푸드 캐롯 카로틴 수딩 토너 300ml+200ml,0.36,0.31,0.11
A000000180475,아비브 어성초 카밍 토너 스킨부스터 500ml+화장솜 30매 증정 기획,1.225,0.8625,0.2875
A000000011268,아벤느 클리낭스 매트 매티파잉 토너 200ml,0.5858585858585859,0.43686868686868685,0.10858585858585859
A000000182369,[NEW] 닥터지 레드 블레미쉬 클리어 수딩 토너 300ml+300ml 듀오기획,0.775,0.68,0.415
A000000181475,메이크프렘 인테카 진정 토너 200ml 기획 (+100ml 리필팩+인테카 크림 31ml),0.665,0.52,0.165
A000000016751,라끄베르 옴므리차지 애프터쉐이브 185ml,0.271356783919598,0.24623115577889448,0.005025125628140704
A000000179259,랩시리즈 데일리 레스큐 워터 로션 200ml 기획세트 (30ml*3 증정),0.205,0.42,0.075
A000000177795,[올영단독]닥터자르트 세라마이딘 스킨 베리어 세럼 토너 기획(150mL+크림7mL*2),0.265,1.22,0.11
A000000005766,[저자극 유분케어] 유세린 더모퓨리파이어 토너 200ml,0.3351063829787234,0.23404255319148937,0.1276595744680851
A000000175930,[몬스타엑스 민혁 PICK]플로운 홀리바질 스킨 컨트롤러 토너 200ml,0.875,0.635,0.435
A000000128107,닥터자르트 컨트롤에이 티트리먼트 토너 120ml (티트리 약산성 토너),0.43315508021390375,0.18716577540106952,0.0374331550802139
A000000178001,에스트라 에이시카365 수분진정결토너 250ml,0.57,0.56,0.265
A000000179255,[단독기획]센텔리안24 마데카 데일리 리페어 토너 기획 (150ml+50ml),0.57,1.415,0.31
A000000124509,클럽맨피노드 머스크 에프터쉐이브코롱 177ml,0.2631578947368421,0.08947368421052632,0.005263157894736842
A000000007413,아이소이 내피부 속에 마르지 않는 옹달샘 촉촉스킨 130ml ,0.37575757575757573,0.3606060606060606,0.030303030303030304
A000000188048,브링그린 대나무히알루수분토너500mL_NEW,0.645,1.0125,0.19
A000000115420,셀퓨전씨 트리악 pH 컨디션 토너 200ml,0.453125,0.234375,0.15104166666666666
A000000188086,아비브 어성초 카밍 토너 스킨부스터 250ml 기획(+250ml 리필증정),0.845,0.565,0.095
A000000115384,로벡틴 시카케어 퓨리파잉 토너 260ml,0.4274611398963731,0.2538860103626943,0.10880829015544041
A000000188990,[온라인용]브링그린 티트리시카수딩토너&크림세트_NEW,0.565,0.49,0.075
A000000162273,[2배용량] 코스알엑스 퓨어핏 시카 토너 대용량 300ml (스킨팩화장솜 40매 증정),0.755,0.5,0.16
A000000158369,[화해1위] 에스네이처 아쿠아 오아시스 토너 300ml,0.235,0.535,0.075
A000000143195,아이디얼 포맨 퍼펙트 스킨 150ml,0.195,0.205,0.005
A000000163734,[이동욱 PICK] 더마펌 모이스트 베리어 부스팅 토너 M4 200ml(민감보습),0.875,1.005,0.14
A000000160817,셀리맥스 더 리얼 노니 수분 밸런싱 토너 320ml,0.49,0.575,0.185
A000000160562,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2/3 200ml,0.125,0.175,0.23
A000000159783,[단독기획] 토니모리 원더 세라마이드 모찌 토너 (본품500ml+100ml),0.325,0.73,0.115
A000000157294,유리아쥬 제모스 토너 (본품500ml+250ml 추가 증정),0.435,0.95,0.255
A000000156959,폴라초이스 스킨 퍼펙팅 바하 리퀴드 각질제거제 더블 기획 (118ml+118ml),0.435,0.22,0.455
A000000156512,더마펌 울트라 수딩 토너 R4 200ml (수분진정),1.48,0.98,0.305
A000000154540,원씽 병풀 추출물 토너 150ml ,0.7989949748743719,0.2613065326633166,0.21608040201005024
A000000154538,원씽 인진쑥 추출물 토너 150ml,0.595,0.275,0.04
A000000164474,플리프 시카-알로에 프레쉬 스킨 200ml 기획세트 (+50ml 증정),0.4575,0.3375,0.075
A000000173332,[한정기획] 피지오겔 DMT 에센스 인 토너 200ml 기획(+50ml 추가 증정),0.9,0.89,0.125
A000000169971,[단독기획] 아누아 어성초 77 수딩 토너 350ml 기획(+화장솜 증정),0.8025,0.3975,0.2875
A000000151356,셀퓨전씨 약산성 패리어 토너 300ml,0.775,0.54,0.275
A000000104169,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 3 200ml,0.12755102040816327,0.20408163265306123,0.1377551020408163
A000000129444,[대용량] 이즈앤트리 히아루론산 토너 400ml,0.31,0.47,0.12
A000000148252,라운드랩 자작나무 수분 토너 300ml,0.55,1.025,0.115
A000000145277,[유튜버추천] 닥터디퍼런트 스케일링 토너 200ml (지성용),0.43,0.435,0.205
A000000137388,아크네스 포맨 퍼펙트 스킨 200ml,0.38,0.295,0.06
A000000136077,마녀공장 비피다 바이옴 앰플 토너 400ml ,0.505,0.49,0.3425
A000000143228,메이크프렘 세이프 미 릴리프 에센스 토너 400ml,0.745,1.08,0.18
A000000153418,[증량] 하다라보 고쿠쥰 로션 500ml,0.28,0.69,0.075
A000000170038,닥터지 에이클리어 밸런싱 토너 200ml 기획 (+화장솜),0.545,0.375,0.115
A000000169918,더바디샵 티트리 오일 10ml,0.37,0.03,-0.035
A000000169911,더바디샵 티트리 오일 20ml,0.47,0.03,0.01
A000000169683,[1+1 기획] 차앤박(CNP) 아쿠아 수딩 토너 1+1 기획,0.3072916666666667,0.421875,0.052083333333333336
A000000174619,데이퍼센트 밀키 모이스쳐 젤리 스킨 210ml,0.245,0.705,0.05
A000000163512,식물나라 카렌둘라 진정 토너 500ml (AD),0.4,0.225,0.085
A000000141900,[1+1 모공케어] 유세린 더머토클린 클래리파잉 토너 더블기획 (200ml+200ml),0.635,0.465,0.245
A000000163510,비욘드 엔젤아쿠아 수분 진정 토너 500ml (비건),0.245,0.415,0.135
A000000137657,라네즈옴므 액티브워터 스킨 180ml,0.145,0.325,0.02
A000000166492,수이스킨 어린새싹 클린 토너 더블 기획세트 ,1.1,0.745,0.355
A000000139057,아벤느 이드랑스 딥 모이스트로션 200ml,0.45,0.695,0.125
